순위,도서번호,도서명,링크,저자,출판사,출판일,판매가,정가,할인율,판매지수,내용,이미지
685,186141317,"AI시대, 스토리텔링의 재탄생",https://www.yes24.com/product/goods/186141317,김태원,파람북,2026년 04월,"17,100","19,000",10%,960,,
686,185767661,코지마 히데오의 게임론,https://www.yes24.com/product/goods/185767661,브라이언 히카리 하츠하임 저/문성호 역,AK(에이케이 커뮤니케이션즈),2026년 04월,"20,710","21,800",5%,300,,
687,185721925,"그냥 따라하다 배우는, 나노바나나 100선",https://www.yes24.com/product/goods/185721925,이재용,비엘북스,2026년 04월,"19,800","22,000",10%,948,,
688,185639310,혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 미리캔버스,https://www.yes24.com/product/goods/185639310,"김태훈, 손민지, 유수근",한빛미디어,2026년 04월,"20,700","23,000",10%,678,,
689,185523191,프롬프트 지옥에서 탈출하는 Claude Code 개발 자동화 시스템,https://www.yes24.com/product/goods/185523191,"박현일, 조용현",BOOKK(부크크),2026년 03월,"37,000","37,000",,198,,
690,185472118,콘텐츠 디자인 with 나노 바나나,https://www.yes24.com/product/goods/185472118,홍순성,한빛미디어,2026년 04월,"25,200","28,000",10%,630,,
691,184642019,입상 교사만 아는 아무도 말해주지 않은 디지털교육연구대회 1등급의 비밀,https://www.yes24.com/product/goods/184642019,강인성,앤써북,2026년 04월,"15,120","16,800",10%,660,,
692,184510723,Play! SOLIDWORKS 솔리드웍스 2026 Master,https://www.yes24.com/product/goods/184510723,원동현,청담북스,2026년 03월,"33,250","35,000",5%,150,,
693,184510719,투닝,https://www.yes24.com/product/goods/184510719,김은지 등,문화출판더하다,2026년 03월,"19,800","22,000",10%,84,,
694,184402617,예제가 가득한 제미나이 길라잡이,https://www.yes24.com/product/goods/184402617,이승우,정보문화사,2026년 04월,"15,120","16,800",10%,936,,
695,184272211,랭체인으로 구현하는 AI 서비스 & 에이전트 개발 입문,https://www.yes24.com/product/goods/184272211,ML_Bear 저/손민규 역/장하렴 감수,영진닷컴,2026년 04월,"25,200","28,000",10%,450,,
696,183794163,스프링 부트 4 개발자 되기 + AI : 자바 편,https://www.yes24.com/product/goods/183794163,신선영,골든래빗,2026년 04월,"30,600","34,000",10%,738,,
697,183754093,모두를 위한 진짜 쎈 바이브 코딩 with 인스타그램 클론 코딩,https://www.yes24.com/product/goods/183754093,"전병우 저/박윤철, 노마드코알라 감수",리코멘드,2026년 04월,"25,200","28,000",10%,918,,
698,183753179,누구나 쉽게 배우는 영상 편집 with 캡컷 PC 버전,https://www.yes24.com/product/goods/183753179,김수진,아티오,2026년 04월,"12,600","14,000",10%,522,,
699,183747150,맛있는 디자인 프리미어 프로 CC 2026,https://www.yes24.com/product/goods/183747150,"심수진, 윤성우",한빛미디어,2026년 04월,"24,300","27,000",10%,972,,
700,183706883,네이버 블로그 첫걸음,https://www.yes24.com/product/goods/183706883,전진수,혜지원,2026년 03월,"15,300","17,000",10%,876,,
701,183072607,30가지 예제로 따라 하며 배우는 ComfyUI 클라우드,https://www.yes24.com/product/goods/183072607,"여승호, 신무경",제이펍,2026년 03월,"19,800","22,000",10%,"1,104",,
702,182958115,"된다! 제미나이, 클로드, 챗GPT AI 챗봇 만들기",https://www.yes24.com/product/goods/182958115,"이재윤, 정해준",이지스퍼블리싱,2026년 03월,"18,900","21,000",10%,"3,756",,
703,182929521,인과 데이터 사이언스,https://www.yes24.com/product/goods/182929521,이석민,법문사,2026년 02월,"30,000","30,000",,300,,
704,182892802,AI 시대의 IT 로컬라이제이션,https://www.yes24.com/product/goods/182892802,"정성희, 오오코시 히토미",커뮤니케이션북스,2026년 03월,"12,000","12,000",,174,,
705,182813489,30일 완성 제미나이 업무 혁명,https://www.yes24.com/product/goods/182813489,AI싱크클럽(이재만),루비페이퍼,2026년 04월,"23,400","26,000",10%,"1,068",,
706,182476796,생성형 AI 시대 수학 교육,https://www.yes24.com/product/goods/182476796,"유주연, 정민주",커뮤니케이션북스,2026년 03월,"12,000","12,000",,222,,
707,182457817,GPT-5와 ChatGPT로 시작하는 멀티모달 AI 프로그래밍 실전 입문,https://www.yes24.com/product/goods/182457817,후루카와 히데카즈 저/최용 역,위키북스,2026년 03월,"28,800","32,000",10%,210,,
708,182413407,A2A × MCP 멀티에이전트 오케스트레이션 실전,https://www.yes24.com/product/goods/182413407,서지영,길벗,2026년 03월,"29,700","33,000",10%,"1,044",,
709,181819691,상업용 AI 음악제작,https://www.yes24.com/product/goods/181819691,최이진,노하우(도서출판),2026년 03월,"29,700","33,000",10%,378,,
710,181126230,피지컬 AI 컴퓨팅 모빌리티 기초동작 편,https://www.yes24.com/product/goods/181126230,"김석진, 박경민, 신승호, 김학진",골든벨,2026년 03월,"28,500","30,000",5%,198,,
711,181114947,가상 면접 사례로 배우는 생성형 AI 서비스 설계,https://www.yes24.com/product/goods/181114947,"알리 아미니안, 하오 성 저/김지호, 조윤민 역",인사이트(insight),2026년 03월,"30,600","34,000",10%,"1,002",,
712,181001457,아두이노제어 with generative AI,https://www.yes24.com/product/goods/181001457,장인갑,내하출판사,2026년 03월,"20,000","20,000",,90,,
713,180485366,안티그래비티 바이브 코딩 입문,https://www.yes24.com/product/goods/180485366,박규하,로드북,2026년 03월,"22,500","25,000",10%,"1,950",,
714,180386716,AI 워커스: 리디자인,https://www.yes24.com/product/goods/180386716,김아람,스마트북스,2026년 03월,"22,500","25,000",10%,"1,242",,
715,180335965,Security Guide 2026 (V.21) - 공격용 AI vs 방어용 AI,https://www.yes24.com/product/goods/180335965,편집부,(주)화산미디어,2026년 02월,"28,500","30,000",5%,402,,
716,180335619,요즘 직장인을 위한 실무 보고서 작성 비법,https://www.yes24.com/product/goods/180335619,김태영,시프트,2026년 03월,"18,000","20,000",10%,"2,424",,
717,180162710,5분 제미나이,https://www.yes24.com/product/goods/180162710,오종현,한빛미디어,2026년 02월,"21,600","24,000",10%,"2,286",,
718,180158155,슬기로운 교사 생활 구글 클래스룸 수업 활용법,https://www.yes24.com/product/goods/180158155,유수근,골든래빗,2026년 03월,"24,120","26,800",10%,"1,158",,
719,180138780,C++로 배우는 자료구조 및 알고리즘,https://www.yes24.com/product/goods/180138780,Frank M. Carrano 저 / 송하윤 등역,프로텍미디어,2026년 02월,"44,000","44,000",,108,,
720,179607096,가장 쉬운 AI 앱 빌더 DIfy 실무 가이드,https://www.yes24.com/product/goods/179607096,오노 사토시 저/두발타고 역,AK(에이케이 커뮤니케이션즈),2026년 02월,"40,850","43,000",5%,240,,
721,179605419,"문제 해결의 힘, 컴퓨팅 사고력",https://www.yes24.com/product/goods/179605419,한옥영,성균관대학교출판부(SKKUP),2026년 02월,"25,000","25,000",,108,,
722,178728913,"세상을 복제하는 공장, Physical AI 데이터팩토리",https://www.yes24.com/product/goods/178728913,손병희,꾸그티처스,2026년 02월,"13,500","15,000",10%,606,,
723,178420804,요즘 디자인을 위한 포토샵 & 일러스트레이터 (큰글자책),https://www.yes24.com/product/goods/178420804,서영열,시프트,2026년 02월,"85,000","85,000",,72,,
724,178332725,누구나 쉽게 따라 하는 디지털 & AI,https://www.yes24.com/product/goods/178332725,"이정화, 남호정, 최상국, 하나",디지털콘텐츠그룹,2026년 02월,"16,200","18,000",10%,642,,
725,178093876,인벤터 설계,https://www.yes24.com/product/goods/178093876,"홍성기, 강민정",성안당,2026년 02월,"24,300","27,000",10%,156,,
726,177855321,포지션으로 읽는 리그오브레전드,https://www.yes24.com/product/goods/177855321,홍승표,가나북스,2026년 03월,"21,600","24,000",10%,390,,
727,177293894,내 코드가 불안한 개발자를 위한 좋은 코드의 기준,https://www.yes24.com/product/goods/177293894,모리 아츠시 저/안동현 역,프리렉,2026년 02월,"22,500","25,000",10%,216,,
728,177288116,엑셀로 시작하는 데이터 분석과 업무 자동화,https://www.yes24.com/product/goods/177288116,김철,영진닷컴,2026년 02월,"28,800","32,000",10%,"1,134",,
729,177220266,AI와 함께라서,https://www.yes24.com/product/goods/177220266,"최원설, 이재하, 고은비",지식터,2026년 01월,"18,000","18,000",,336,,
730,177123164,어르신들을 위한 스마트폰 기초교실,https://www.yes24.com/product/goods/177123164,디지털콘텐츠그룹 편집부,디지털콘텐츠그룹,2026년 02월,"14,400","16,000",10%,840,,
731,177114666,나노바나나로 AI툰 제작하기,https://www.yes24.com/product/goods/177114666,김한재,비엘북스,2026년 02월,"28,800","32,000",10%,"2,016",,
732,177078746,인간중심 AI,https://www.yes24.com/product/goods/177078746,권유빈,커뮤니케이션북스,2026년 02월,"12,000","12,000",,150,,
733,177059661,허깅페이스로 배우는 멀티모달 모델,https://www.yes24.com/product/goods/177059661,"이정인, 정우준",디지털북스,2026년 03월,"19,800","22,000",10%,360,,
734,176921133,마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷 (큰글자책),https://www.yes24.com/product/goods/176921133,김지희,시프트,2026년 02월,"48,000","48,000",,246,,
735,176920892,"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오 (큰글자책)",https://www.yes24.com/product/goods/176920892,"현병욱(오땡큐), 신수진",시프트,2026년 02월,"39,000","39,000",,258,,
736,176914166,프리미어 프로 + 애프터 이펙트 CC 2026 무작정 따라하기,https://www.yes24.com/product/goods/176914166,"전은재, 민지영, 문수민, 앤미디어",길벗,2026년 02월,"24,300","27,000",10%,"1,260",,
737,176914164,기본기부터 다시 새기는 러스트 특강,https://www.yes24.com/product/goods/176914164,욘 옝세 저/장현희 역,인사이트(insight),2026년 02월,"29,700","33,000",10%,204,,
738,176538801,팔란티어처럼 해체하고 연결하고 장악하라,https://www.yes24.com/product/goods/176538801,정관영,골든래빗,2026년 02월,"21,600","24,000",10%,"3,945",,
739,175912211,생성형AI 프롬프트 디자인,https://www.yes24.com/product/goods/175912211,한국생성형AI연구원,광문각출판미디어,2026년 02월,"30,000","30,000",,528,,
740,175863613,아두이노 프로그래밍,https://www.yes24.com/product/goods/175863613,"강성묵, 정보권",생능출판사,2026년 01월,"35,000","35,000",,222,,
741,175523653,"AI로 차트, 그래프, 인포그래픽 한 번에 끝내기",https://www.yes24.com/product/goods/175523653,이현,천그루숲,2026년 01월,"16,200","18,000",10%,"1,500",,
742,175392034,그림으로 배우는 가상화 구조,https://www.yes24.com/product/goods/175392034,"스즈키 켄지, 무네무라 타쿠미, 마루야마 카츠야스, 오우 쇼 저/김성훈 역",영진닷컴,2026년 01월,"15,300","17,000",10%,468,,
743,175232277,"우리, 프로그래머들 We, Programmers",https://www.yes24.com/product/goods/175232277,로버트 C. 마틴 저/최희철 역,길벗,2026년 01월,"27,900","31,000",10%,"2,370",,
744,175226784,"IT@CookBook, 유니티 입문",https://www.yes24.com/product/goods/175226784,"이종원, 신유철, 이승환",한빛아카데미,2026년 01월,"33,000","33,000",,312,,
745,175226781,출근길에 읽고 퇴근길에 완성하는 바이브 코딩,https://www.yes24.com/product/goods/175226781,노승헌,더 타이즈,2026년 02월,"19,800","22,000",10%,996,,
746,175133788,AI 프로젝트 100% 성공을 위한 체크리스트 17,https://www.yes24.com/product/goods/175133788,유진호,책만,2026년 01월,"25,200","28,000",10%,"3,408",,
747,175122641,AI 디자인 활용백과,https://www.yes24.com/product/goods/175122641,채시은,스마트북스,2026년 01월,"22,500","25,000",10%,936,,
748,175110074,심리상담과 AI의 융합 (큰글자책),https://www.yes24.com/product/goods/175110074,이혜숙,커뮤니케이션북스,2026년 01월,"25,000","25,000",,84,,
749,174795790,네이버 블로그 역제안 가이드,https://www.yes24.com/product/goods/174795790,마케터C(김명경),한빛미디어,2026년 02월,"19,800","22,000",10%,"1,182",,
750,174753625,마인크래프트 블록 완벽 가이드,https://www.yes24.com/product/goods/174753625,Mojang Studio 저/강세중 역,영진닷컴,2026년 01월,"22,500","25,000",10%,"1,182",,
751,174267330,MK에디션 CES 2026,https://www.yes24.com/product/goods/174267330,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,"18,000","20,000",10%,"2,814",,
752,174031964,디지털 게임 레벨 디자인 가이드,https://www.yes24.com/product/goods/174031964,김익환,다윈의서재,2026년 01월,"65,000","65,000",,96,,
753,174028749,AI와 심리적 안정감,https://www.yes24.com/product/goods/174028749,원미영,커뮤니케이션북스,2026년 01월,"12,000","12,000",,120,,
754,173183477,인공지능이 답할 때 교육은 무엇을 묻는가,https://www.yes24.com/product/goods/173183477,함영기,에듀니티교육연구소(에듀니티),2026년 01월,"18,000","20,000",10%,"4,770",,
755,173033853,모던 API 아키텍처 설계 전략,https://www.yes24.com/product/goods/173033853,"제임스 고프, 대니얼 브라이언트, 매튜 어번 저/장현희 역",책만,2026년 01월,"28,800","32,000",10%,"2,142",,
756,172532517,포토샵 & 일러스트레이터 & 인디자인 CC 2026,https://www.yes24.com/product/goods/172532517,"김경미, 최리진",생능북스,2026년 01월,"22,500","25,000",10%,"1,602",,
757,171651782,코틀린&스프링 부트로 개발은 처음인데요,https://www.yes24.com/product/goods/171651782,정보근,더 타이즈,2026년 01월,"29,700","33,000",10%,432,,
758,171013891,코딩런 반려동물키우기  with 엔트리,https://www.yes24.com/product/goods/171013891,놀이교육콘텐츠랩,마린북스,2025년 12월,"13,500","15,000",10%,474,,
759,170998602,포토샵+일러스트레이터 CC 2026 무작정 따라하기,https://www.yes24.com/product/goods/170998602,"문수민, 민지영, 앤미디어, 전은재",길벗,2026년 01월,"23,400","26,000",10%,"3,138",,
760,170378306,현직교사가 만든 가장 쉬운 미리캔버스 수업 활용! MiriCanvas(미리캔버스)로 무엇이든 만들 수 있다,https://www.yes24.com/product/goods/170378306,"김동은, 김효민, 박채린, 이희정, 임준열",광문각출판미디어,2025년 12월,"21,000","21,000",,"1,164",,
761,168871803,리더는 AI에게 질문하지 않는다,https://www.yes24.com/product/goods/168871803,김희연,북피움,2026년 01월,"20,700","23,000",10%,"2,901",,
762,168759478,이펙티브 타입스크립트 2판,https://www.yes24.com/product/goods/168759478,댄 밴더캄 저/장원호 역,인사이트(insight),2025년 12월,"31,500","35,000",10%,660,,
763,168451090,"요즘 바이브 코딩 v0 + 커서 입문 PRD 기획·개발·배포, 일주일 완성",https://www.yes24.com/product/goods/168451090,김동학,골든래빗,2026년 01월,"25,200","28,000",10%,"1,440",,
764,168263935,AI 잘 쓰는 디자이너,https://www.yes24.com/product/goods/168263935,전하린,이지스퍼블리싱,2025년 12월,"18,900","21,000",10%,"2,742",,
765,168228070,따라 하면서 완성하는 AWS 인프라 구축 입문,https://www.yes24.com/product/goods/168228070,최진영(럭키바닐라 3세),위키북스,2026년 01월,"31,500","35,000",10%,828,,
766,168226328,"Dify, 코딩 없이 AI 앱 개발의 시작",https://www.yes24.com/product/goods/168226328,"멀티코어, 조준희, 강장묵, 이상한, 윤철희",프리렉,2025년 12월,"22,500","25,000",10%,702,,
767,167785232,일잘러의 무기가 되는 엑셀 대시보드,https://www.yes24.com/product/goods/167785232,최준선,한빛미디어,2025년 12월,"24,300","27,000",10%,744,,
768,167600356,주얼리 디자인을 위한 미드저니(Midjourney) 가이드,https://www.yes24.com/product/goods/167600356,김규승,청담북스,2025년 11월,"23,750","25,000",5%,72,,
769,167584729,AI 자율학습 밑바닥부터 배우는 AI 에이전트,https://www.yes24.com/product/goods/167584729,다비드스튜디오,길벗,2025년 12월,"21,600","24,000",10%,"1,860",,
770,167582352,피지컬 AI 컴퓨팅 센서편,https://www.yes24.com/product/goods/167582352,"김석진, 박경민, 신승호",골든벨,2026년 01월,"31,350","33,000",5%,438,,
771,167496127,AI와 언어학,https://www.yes24.com/product/goods/167496127,이은송,커뮤니케이션북스,2025년 12월,"12,000","12,000",,150,,
772,167455912,키득키득반반한 코딩 어린이스크래치&엔트리with 인터넷+AI,https://www.yes24.com/product/goods/167455912,놀이교육콘텐츠랩,마린북스,2025년 11월,"12,600","14,000",10%,960,,
773,167400777,AI와 패션 디자인 (큰글자책),https://www.yes24.com/product/goods/167400777,"마진주, 정연이",커뮤니케이션북스,2025년 12월,"25,000","25,000",,60,,
774,167388454,키득키득 반반한 OA 파워포인트&한글 with 인터넷+AI,https://www.yes24.com/product/goods/167388454,놀이교육콘텐츠랩,마린북스,2025년 11월,"12,600","14,000",10%,"1,644",,
775,167387442,AI 법률문서 작성법 : 형사사건편,https://www.yes24.com/product/goods/167387442,김종엽,박영사,2025년 12월,"28,000","28,000",,714,,
776,167384326,요즘 바이브 코딩 제미나이 CLI 완벽 가이드,https://www.yes24.com/product/goods/167384326,김진환,골든래빗,2025년 12월,"23,400","26,000",10%,"4,566",,
777,167131962,Do it! HTML+CSS 웹 표준의 정석,https://www.yes24.com/product/goods/167131962,고경희,이지스퍼블리싱,2025년 11월,"26,550","29,500",10%,654,,
778,165483454,한 권으로 끝내는 올인원 피그마,https://www.yes24.com/product/goods/165483454,오시내,제이펍,2025년 12월,"31,500","35,000",10%,"1,392",,
779,165325500,현직교사가 만든 가장 쉬운 캔바 수업 활용! 캔바로 무엇이든 만들 수 있다,https://www.yes24.com/product/goods/165325500,"이서영, 유상숙, 양지현, 이상현",광문각출판미디어,2025년 11월,"19,000","19,000",,"2,568",,
780,165140030,Prisma로 배우는 TypeScript 데이터베이스 프로그래밍 Prisma ORM 입문,https://www.yes24.com/product/goods/165140030,이규호,콩콩 컴퍼니,2025년 10월,"29,400","29,400",,96,,
781,164912355,공공기관 업무혁신을 위한 AI플레이북,https://www.yes24.com/product/goods/164912355,"신철, 김용환, 권영우, 최은호, 전영달, 윤기영, 김근오",6G웰니스,2025년 11월,"20,700","23,000",10%,108,,
782,164773671,AI와 무용 교육,https://www.yes24.com/product/goods/164773671,김경미,커뮤니케이션북스,2025년 11월,"12,000","12,000",,126,,
783,164512812,도메인 주도 설계를 위한 함수형 프로그래밍,https://www.yes24.com/product/goods/164512812,스콧 블라신 저/박주형 편역,제이펍,2025년 11월,"28,800","32,000",10%,"1,290",,
784,163744828,PyTorch로 배우는 딥러닝과 생성형 AI,https://www.yes24.com/product/goods/163744828,박유성,자유아카데미,2025년 11월,"43,000","43,000",,621,,
785,163598008,직장인을 위한 미드저니 이미지 & 영상 제작,https://www.yes24.com/product/goods/163598008,"고희청, 박범희",성안당,2025년 11월,"24,300","27,000",10%,402,,
786,162993187,파이썬 for Beginner,https://www.yes24.com/product/goods/162993187,우재남,한빛아카데미,2025년 11월,"26,000","26,000",,"2,928",,
787,162211876,AI 개발자가 되고 싶으세요?,https://www.yes24.com/product/goods/162211876,"배휘동, 홍석용, 오현우, 정금호, 최남규 저 외 1명
                                        
정보 더 보기/감추기



배휘동
홍석용
오현우
정금호
최남규
김성완",로드북,2025년 11월,"22,500","25,000",10%,630,,
788,162178083,레트로 게임 만들기 with 파이썬,https://www.yes24.com/product/goods/162178083,"조수현, 김이현, 이승현, 노근우",루비페이퍼,2025년 11월,"31,500","35,000",10%,882,,
789,161924116,바이브 코딩,https://www.yes24.com/product/goods/161924116,이석현,아이콕스(iCox),2025년 11월,"24,300","27,000",10%,"1,284",,
790,161918303,운영체제,https://www.yes24.com/product/goods/161918303,"박규석, 배인한 저/김영찬 감수",생능출판사,2025년 11월,"28,000","28,000",,336,,
791,161614247,PLAY! SOLIDWORKS 2026 ASSEM&DRAW BASIC,https://www.yes24.com/product/goods/161614247,원동현,청담북스,2025년 10월,"19,000","20,000",5%,300,,
792,161611894,PLAY! SOLIDWORKS 2026 PART BASIC,https://www.yes24.com/product/goods/161611894,원동현,청담북스,2025년 10월,"20,900","22,000",5%,480,,
793,160603535,핸즈온 바이브 코딩,https://www.yes24.com/product/goods/160603535,정도현,한빛미디어,2025년 10월,"19,800","22,000",10%,"1,722",,
794,160497918,파이썬으로 시작하는 머신러닝+딥러닝,https://www.yes24.com/product/goods/160497918,강지영,아이리포,2025년 11월,"25,200","28,000",10%,"1,266",,
795,160471520,이것이 UX/UI 디자인이다,https://www.yes24.com/product/goods/160471520,조성봉,위키북스,2025년 10월,"31,500","35,000",10%,600,,
796,160409598,코딩 1도 몰라도 커서 AI와 대화하며 7가지 프로그램 만들기,https://www.yes24.com/product/goods/160409598,"이상용, 정동진",앤써북,2025년 10월,"16,200","18,000",10%,"1,026",,
797,160136114,SAP Public Cloud와 Private Cloud Edition 완전 정복,https://www.yes24.com/product/goods/160136114,권영근,북랩,2025년 10월,"31,500","35,000",10%,378,,
798,159636882,"AI 음악 생성기, 수노(큰글자책)",https://www.yes24.com/product/goods/159636882,"양종모, 박은비",커뮤니케이션북스,2025년 10월,"25,000","25,000",,84,,
799,159499662,AI와 정밀 의료,https://www.yes24.com/product/goods/159499662,김효정,커뮤니케이션북스,2025년 10월,"12,000","12,000",,234,,
800,159417254,나노 바나나,https://www.yes24.com/product/goods/159417254,"문수민, 박범희, 앤미디어",생능북스,2025년 11월,"21,600","24,000",10%,"14,232",,
801,159257393,AI와 전문직의 미래,https://www.yes24.com/product/goods/159257393,김예성,커뮤니케이션북스,2025년 10월,"12,000","12,000",,564,,
802,159171284,가장 상세한 엑셀 함수 대백과,https://www.yes24.com/product/goods/159171284,쿠니모토 아츠코 저/류승우 역,영진닷컴,2025년 10월,"25,200","28,000",10%,"1,746",,
803,159074904,한글 2022,https://www.yes24.com/product/goods/159074904,전경숙,교학사,2025년 10월,"13,500","15,000",10%,258,,
804,158727530,스타트업 서비스 설계는 처음인데요,https://www.yes24.com/product/goods/158727530,강대명,더 타이즈,2025년 10월,"29,700","33,000",10%,"2,496",,
805,155152306,"리액트, Next.js로 완성하는 프론트엔드",https://www.yes24.com/product/goods/155152306,강경석,영진닷컴,2025년 10월,"32,400","36,000",10%,"1,842",,
806,155062669,예제로 배우는 CATIA V5 기초,https://www.yes24.com/product/goods/155062669,"김한승, 강병호, 김창완",좋은땅,2025년 02월,"19,800","22,000",10%,96,,
807,155060238,UX 교과서,https://www.yes24.com/product/goods/155060238,앤서니 콘타 저/이미령 역,길벗,2025년 10월,"29,700","33,000",10%,582,,
808,154648338,할루시네이션을 줄여주는 프롬프트 엔지니어링,https://www.yes24.com/product/goods/154648338,한성민,한빛미디어,2025년 09월,"28,800","32,000",10%,858,,
809,154254878,"돈 되는 AI, 어디서부터 무엇을 어떻게 해야 할까",https://www.yes24.com/product/goods/154254878,장동인,리코멘드,2025년 09월,"22,500","25,000",10%,"4,398",,
810,154254873,AI와 미술 교육,https://www.yes24.com/product/goods/154254873,손지현,커뮤니케이션북스,2025년 09월,"12,000","12,000",,246,,
811,154238820,디지털 마케팅 용어 도감,https://www.yes24.com/product/goods/154238820,다케우치 테츠야 저/김모세 역,정보문화사,2025년 09월,"20,700","23,000",10%,390,,
812,154230854,코딩테스트로 배우는 파이썬 문제 풀이로 문법과 알고리즘을 한 번에 끝내는 실전 입문서,https://www.yes24.com/product/goods/154230854,엄가온,콩콩 컴퍼니,2025년 09월,"19,300","19,300",,234,,
813,154159841,요즘 개발자를 위한 시스템 설계 수업,https://www.yes24.com/product/goods/154159841,"디렌드라 신하, 테자스 초프라 저/양문규 역",길벗,2025년 09월,"31,500","35,000",10%,"6,444",,
814,154100759,AI와 여가·관광,https://www.yes24.com/product/goods/154100759,이정은,휴먼북스(교재),2025년 08월,"20,000","20,000",,84,,
815,154076881,크리핵티브의 한 권으로 끝내는 웹 해킹 바이블,https://www.yes24.com/product/goods/154076881,하동민(크리핵티브),한빛미디어,2025년 10월,"54,000","60,000",10%,"2,382",,
816,153848263,처음 배우는 명암·구도·배색 : 그리고 싶은 그림을 배우는 일러스트 기초,https://www.yes24.com/product/goods/153848263,시마자키 조제 저/고영자 역,영진닷컴,2025년 09월,"18,000","20,000",10%,"1,158",,
817,153613588,헤드 퍼스트 소프트웨어 아키텍처,https://www.yes24.com/product/goods/153613588,"라주 간디, 마크 리처드, 닐 포드 저/유동환, 최영수 역",한빛미디어,2025년 09월,"33,300","37,000",10%,"1,668",,
818,153499985,밑바닥부터 시작하는 웹 브라우저,https://www.yes24.com/product/goods/153499985,"파벨 판체카, 크리스 해럴슨 저/이형욱, 최병운 역",한빛미디어,2025년 09월,"40,500","45,000",10%,"2,250",,
819,153085270,AI 3대 강국,https://www.yes24.com/product/goods/153085270,박영선,나남출판사,2025년 09월,"16,200","18,000",10%,798,,
820,153061112,"생성형 AI와 엔트리로 12가지 인공지능 작품 만들기 with 뤼튼, 캔바, 미리캔버스, 투닝, ChatGPT, 위스크, 수노",https://www.yes24.com/product/goods/153061112,"전진아, 김수연",앤써북,2025년 09월,"18,900","21,000",10%,"3,372",,
821,152649327,"미드저니와 ComfyUI로 완성하는, 게임 그래픽",https://www.yes24.com/product/goods/152649327,양영민,비엘북스,2025년 08월,"29,700","33,000",10%,"2,022",,
822,152579254,AI와 문화 기술,https://www.yes24.com/product/goods/152579254,김돈정,커뮤니케이션북스,2025년 09월,"12,000","12,000",,456,,
823,152363144,초보자도 쉽게 배우는 엑셀 2024 길라잡이,https://www.yes24.com/product/goods/152363144,김영주,정보문화사,2025년 09월,"20,700","23,000",10%,966,,
824,152307412,AI와 국악 창작 교육,https://www.yes24.com/product/goods/152307412,"권혜근, 정영선",커뮤니케이션북스,2025년 08월,"12,000","12,000",,144,,
825,152302455,데이터 리터러시를 높이는 데이터 시각화,https://www.yes24.com/product/goods/152302455,네이선 야우 저/한상택 역,인사이트(insight),2025년 09월,"29,700","33,000",10%,"1,662",,
826,152026446,프롬프트 엔지니어의 업무 가이드북,https://www.yes24.com/product/goods/152026446,최영우,책과나무,2025년 08월,"19,800","22,000",10%,564,,
827,151881498,쓱 하고 싹 배우는 미리캔버스,https://www.yes24.com/product/goods/151881498,김영미,영진닷컴,2025년 08월,"12,600","14,000",10%,"1,236",,
828,151789405,정지훈의 양자 컴퓨터 강의,https://www.yes24.com/product/goods/151789405,정지훈,한빛미디어,2025년 08월,"21,600","24,000",10%,"12,552",,
829,151780100,된다! 하루 만에 만드는 AI 사진 & 이미지,https://www.yes24.com/product/goods/151780100,김원석,이지스퍼블리싱,2025년 08월,"16,020","17,800",10%,"3,942",,
830,151761784,Do it! 알고리즘 코딩 테스트 파이썬 편,https://www.yes24.com/product/goods/151761784,김종관,이지스퍼블리싱,2025년 09월,"31,500","35,000",10%,"2,136",,
831,151682700,라즈베리파이5로 구현하는 사물인터넷(IoT)과 인공지능(AI) 자율주행 자동차,https://www.yes24.com/product/goods/151682700,"이현, 김경연, 김명생",광문각,2025년 08월,"26,000","26,000",,474,,
832,151379311,돌꿈_컴기초꿈트리(윈도우11_AI 친구들),https://www.yes24.com/product/goods/151379311,KIE 기획연구실 저/방컴(쌤과 아이들) 감수,아카데미소프트,2025년 09월,"12,600","14,000",10%,"1,386",,
833,151347071,데이터ㆍAI 시스템 아키텍트를 위한 실무 가이드,https://www.yes24.com/product/goods/151347071,윤대희,위키북스,2025년 08월,"37,800","42,000",10%,636,,
834,151170115,챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,https://www.yes24.com/product/goods/151170115,설근민,제이펍,2025년 08월,"22,500","25,000",10%,"2,496",,
835,151152657,AI 영상×미드저니·런웨이·소라·클링·하이루오,https://www.yes24.com/product/goods/151152657,안재홍,길벗,2025년 08월,"23,400","26,000",10%,"4,086",,
836,151045539,그림으로 개념 잡는 네트워크 입문,https://www.yes24.com/product/goods/151045539,C.I.K,앤써북,2025년 08월,"15,930","17,700",10%,420,,
837,150866742,LLM 상담과 심리 치료,https://www.yes24.com/product/goods/150866742,강수정,커뮤니케이션북스,2025년 08월,"12,000","12,000",,210,,
838,150795058,딥러닝 제대로 이해하기,https://www.yes24.com/product/goods/150795058,사이먼 J. D. 프린스 저/고연이 역,제이펍,2025년 08월,"34,200","38,000",10%,"2,883",,
839,150724085,챗GPT와 함께하는 주식 데이터 분석,https://www.yes24.com/product/goods/150724085,이진규 저/김동준 감수,영진닷컴,2025년 08월,"19,800","22,000",10%,"2,328",,
